id	left	right	parent	child
0	0.000	40780.000	10	6	
1	0.000	40780.000	10	9	
2	0.000	99999.000	11	0	
3	0.000	99999.000	11	7	
4	0.000	99999.000	11	8	
5	0.000	10720.000	12	1	
6	21114.000	31356.000	12	1	
7	62185.000	99999.000	12	1	
8	0.000	10720.000	12	4	
9	21114.000	31356.000	12	4	
10	62185.000	99999.000	12	4	
11	10720.000	21114.000	13	1	
12	31356.000	62185.000	13	4	
13	10720.000	21114.000	13	5	
14	31356.000	62185.000	13	5	
15	62185.000	99999.000	14	5	
16	40822.000	99999.000	14	11	
17	40822.000	62185.000	14	13	
18	31356.000	62185.000	15	1	
19	10720.000	21114.000	15	4	
20	40780.000	99999.000	15	9	
21	0.000	40780.000	15	10	
22	0.000	10720.000	15	12	
23	21114.000	31356.000	15	12	
24	62185.000	99999.000	15	12	
25	16939.000	27996.000	16	3	
26	16939.000	27996.000	16	11	
27	40780.000	99999.000	17	6	
28	40780.000	40822.000	17	13	
29	40822.000	99999.000	17	14	
30	0.000	40822.000	18	2	
31	0.000	16939.000	18	3	
32	27996.000	40822.000	18	11	
33	16939.000	27996.000	18	16	
34	35019.000	55424.000	19	3	
35	55497.000	99999.000	19	3	
36	35019.000	40780.000	19	13	
37	40780.000	55424.000	19	17	
38	55497.000	99999.000	19	17	
39	73118.000	99999.000	20	2	
40	73118.000	99999.000	20	19	
41	40822.000	46187.000	21	2	
42	55424.000	55497.000	21	3	
43	0.000	46187.000	21	15	
44	55424.000	55497.000	21	15	
45	0.000	40822.000	21	18	
46	86895.000	99999.000	22	15	
47	86895.000	99999.000	22	20	
